"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048660","regulation of smooth muscle cell proliferation","12/100","172/18860",0.0697674418604651,13.1581395348837,11.6948012987639,1.17915621181203e-10,1.66261025865496e-08,1.06537798084771e-08,"TNFAIP3/SOD2/HBEGF/IL6/MMP9/EDN1/PDGFB/ITGB3/TNF/PPARGC1A/P2RY6/MIR221",12
"GO:0031640","killing of cells of another organism","11/100","135/18860",0.0814814814814815,15.3674074074074,12.2314316063877,1.37904179899203e-10,1.66667051706751e-08,1.06797973906901e-08,"CCL20/C3/CFB/CXCL1/CXCL2/PGLYRP4/CXCL3/CXCL14/GBP5/CXCL6/S100A12",11
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","11/100","135/18860",0.0814814814814815,15.3674074074074,12.2314316063877,1.37904179899203e-10,1.66667051706751e-08,1.06797973906901e-08,"CCL20/CXCL1/S100A9/CXCL5/CXCL2/PGLYRP4/CXCL3/CXCL14/S100A7/CXCL6/S100A12",11
"GO:0141061","disruption of cell in another organism","11/100","135/18860",0.0814814814814815,15.3674074074074,12.2314316063877,1.37904179899203e-10,1.66667051706751e-08,1.06797973906901e-08,"CCL20/C3/CFB/CXCL1/CXCL2/PGLYRP4/CXCL3/CXCL14/GBP5/CXCL6/S100A12",11
"GO:0048659","smooth muscle cell proliferation","12/100","176/18860",0.0681818181818182,12.8590909090909,11.5402632578981,1.54104439265429e-10,1.77780484934391e-08,1.13919310366071e-08,"TNFAIP3/SOD2/HBEGF/IL6/MMP9/EDN1/PDGFB/ITGB3/TNF/PPARGC1A/P2RY6/MIR221",12
"GO:0141060","disruption of anatomical structure in another organism","11/100","139/18860",0.079136690647482,14.9251798561151,12.0305810947117,1.89184241348288e-10,2.08760697626936e-08,1.33771008184487e-08,"CCL20/C3/CFB/CXCL1/CXCL2/PGLYRP4/CXCL3/CXCL14/GBP5/CXCL6/S100A12",11
"GO:0045071","negative regulation of viral genome replication","8/100","50/18860",0.16,30.176,15.0820115115306,2.09962357285963e-10,2.22035192829905e-08,1.42277123687198e-08,"TNIP1/MX1/OAS3/OAS2/OAS1/IFITM1/TNF/BST2",8
"GO:1990266","neutrophil migration","10/100","106/18860",0.0943396226415094,17.7924528301887,12.6579398348629,2.31946290151476e-10,2.35471873761778e-08,1.50887165593276e-08,"SAA1/S100A8/S100A9/CXCL5/IL1B/CXCL3/EDN1/ADAM8/CXCL6/S100A12",10
"GO:0048525","negative regulation of viral process","9/100","76/18860",0.118421052631579,22.3342105263158,13.6060557458525,2.43773407620404e-10,2.37960349438686e-08,1.52481746871872e-08,"TNIP1/MX1/IL32/OAS3/OAS2/OAS1/IFITM1/TNF/BST2",9
"GO:0001906","cell killing","14/100","281/18860",0.0498220640569395,9.39644128113879,10.3533324828637,2.70307217442604e-10,2.54088784396047e-08,1.62816628050223e-08,"CCL20/ICAM1/C3/CFB/CXCL1/CXCL2/PGLYRP4/CXCL3/CXCL14/GBP5/CXCL6/S100A12/STAT5A/SERPINB4",14
"GO:0097530","granulocyte migration","11/100","148/18860",0.0743243243243243,14.0175675675676,11.6076286857257,3.72047261989109e-10,3.31775666204471e-08,2.12597322502554e-08,"SAA1/S100A8/S100A9/CXCL5/IL1B/CXCL3/EDN1/ADAM8/S100A7/CXCL6/S100A12",11
"GO:0097529","myeloid leukocyte migration","13/100","237/18860",0.0548523206751055,10.3451476793249,10.5700838733194,3.79097490934975e-10,3.31775666204471e-08,2.12597322502554e-08,"SAA1/S100A8/S100A9/CXCL5/IL6/IL1B/CXCL3/EDN1/PDGFB/ADAM8/S100A7/CXCL6/S100A12",13
"GO:0002526","acute inflammatory response","10/100","112/18860",0.0892857142857143,16.8392857142857,12.2746762142003,4.01470337934931e-10,3.33444493017588e-08,2.13666683966726e-08,"SAA2/SAA1/C3/IL6/IL1B/SERPINA3/IL1A/VNN1/ADAM8/TNF",10
"GO:2001233","regulation of apoptotic signaling pathway","16/100","406/18860",0.0394088669950739,7.43251231527094,9.56624057026971,4.09799501960739e-10,3.33444493017588e-08,2.13666683966726e-08,"S100A8/TNFAIP3/INHBA/ICAM1/SOD2/S100A9/IL1B/MMP9/IL1A/CSF2/VNN1/TNFSF14/TNF/IFI6/LTB/MIR221",16
"GO:0097191","extrinsic apoptotic signaling pathway","13/100","239/18860",0.0543933054393305,10.2585774058577,10.5168244710109,4.20418588517054e-10,3.33444493017588e-08,2.13666683966726e-08,"TNFAIP3/INHBA/ICAM1/IL1B/IL1A/IFI27/CSF2/BCL2A1/TNFSF14/TNF/IFI6/LTB/MIR221",13
"GO:0030593","neutrophil chemotaxis","9/100","83/18860",0.108433734939759,20.4506024096386,12.9658774604943,5.45537923778854e-10,4.19568257742646e-08,2.68853617938861e-08,"SAA1/S100A8/S100A9/CXCL5/IL1B/CXCL3/EDN1/CXCL6/S100A12",9
"GO:0019058","viral life cycle","14/100","298/18860",0.0469798657718121,8.86040268456376,9.98581363130677,5.82791441230965e-10,4.35036669954173e-08,2.78765565542366e-08,"ICAM1/TNIP1/MX1/ZC3H12A/IL32/OAS3/OAS2/OAS1/IFITM1/ITGB3/TNF/BST2/GBP5/MIR221",14
"GO:0019079","viral genome replication","10/100","117/18860",0.0854700854700855,16.1196581196581,11.9772816614644,6.19116684295041e-10,4.48948041354518e-08,2.8767978262732e-08,"TNIP1/MX1/ZC3H12A/OAS3/OAS2/OAS1/IFITM1/TNF/BST2/MIR221",10
